alim_code;alim_nom_fr;alim_carbo;alim_image_url;code
9824;Pâtes sèches, sans gluten, cuites, non salées;34,4;;9824
25479;Gnocchi à la semoule, cuit;34,4;;25479
19852;Mousse à la crème de marrons, préemballée;34,4;;19852
25518;Sandwich baguette, camembert, beurre;34,3;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=81;25518
23474;Profiteroles (crème pâtissière et sauce chocolat), préemballées;34,3;;23474
23006;Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi-couches, avec ou sans cerises);34,2;;23006
31030;Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette;34,1;;31030
4045;Frites de pommes de terre, surgelées, préfrites, pour cuisson micro-ondes;34;;4045
25579;Gnocchi, cuit (aliment moyen);34;;25579
25528;Pissaladière, préemballée;33,8;;25528
23493;Crumble aux pommes;33,8;;23493
11077;Fenugrec, graine;33,8;;11077
25517;Sandwich baguette, jambon, beurre;33,7;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=80;25517
23805;Blini;33,7;;23805
11042;Cumin, graine;33,7;;11042
25510;Gnocchi à la pomme de terre, cuit;33,6;;25510
25558;Brick au boeuf;33,5;;25558
23684;Galette des rois feuilletée, fourrée frangipane, et Pithiviers;33,4;;23684
39503;Glace ou crème glacée, bâtonnet, enrobé de chocolat;33,4;;39503
20518;Fève, sèche;33,3;;20518
23421;Pâte feuilletée, surgelée, crue;33,3;;23421
25536;Sandwich baguette, salami, beurre;33,2;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=85;25536
11046;Levure chimique ou Poudre à lever;33,2;;11046
7256;Muffin anglais, complet, petit pain spécial, préemballé;32,9;;7256
25521;Sandwich baguette, jambon, emmental, beurre;32,7;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=84;25521
23490;Tarte ou tartelette aux pommes;32,7;;23490
4030;Frites de pommes de terre, surgelées, rôties/cuites au four;32,6;;4030
9103;Riz complet, cuit, non salé;32,6;;9103
39512;Dessert glacé, type sundae;32,6;;39512
15048;Mélange apéritif de graines (non salées) et fruits séchés;32,2;;15048
39500;Glace à l'eau ou sorbet ou crème glacée, tout parfum (aliment moyen);32,2;;39500
39534;Coupe glacée parfum pêche Melba ou poire Belle-Hélène;32,2;;39534
25519;Sandwich baguette, pâté, cornichons;32,1;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=82;25519
25431;Sandwich baguette, thon, crudités (tomate, salade), mayonnaise;32;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=80;25431
25520;Sandwich baguette, saucisson, beurre;32;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=83;25520
54034;Manioc, racine cuite;32;;54034
9816;Pâtes fraîches, aux oeufs, cuites, non salées;32;;9816
23121;Far aux pruneaux;32;;23121
25550;Flammenkueche ou Tarte flambée aux lardons, préemballée;31,8;;25550
15049;Mélange apéritif de graines (non salées) et raisins secs;31,8;;15049
9104;Riz blanc, cuit, non salé;31,8;;9104
9105;Riz blanc étuvé, cuit, non salé;31,7;;9105
19689;Cheesecake ou Gâteau au fromage frais, préemballé;31,7;;19689
25477;Pizza champignons fromage, préemballée;31,6;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;25477
23007;Gâteau mousse de fruits sur génoise, type miroir, bavarois;31,6;;23007
23477;Éclair;31,6;;23477
11052;Clou de girofle;31,6;;11052
25184;Riz blanc, avec poulet, préemballé, cuit;31,5;;25184
25543;Sandwich baguette (aliment moyen);31,4;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=80;25543
23472;Profiterole avec glace vanille et sauce chocolat;31,4;;23472
11217;Sauce pour nems à base de nuoc-mam dilué, préemballée;31,2;;11217
25535;Sandwich baguette, merguez, ketchup moutarde;31;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=84;25535
9683;Graine de couscous (semoule de blé dur précuite), cuite, non salée;31;;9683
23491;Tarte aux fraises;31;;23491
25189;Risotto, aux fromages, préemballé;30,9;;25189
26268;Tielle sétoise, préemballée;30,9;;26268
25475;Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre;30,9;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=80;25475
25532;Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise;30,9;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=82;25532
